,mu,quantized_mu,changed,timestamp,average_util,parameter,delta_latency
0,0.5819846485412057,0.66,0,2022-12-13 21:59:37.372522,0.6073279,0.03,-1.8628799149957116
0,0.649788894023471,0.66,0,2022-12-13 21:59:41.445221,0.6767679,0.03,-2.2956114575876096
0,0.5741110217432744,0.66,0,2022-12-13 21:59:43.508925,0.6006215,0.03,-2.1514326911492097
0,0.6160527900789999,0.66,0,2022-12-13 21:59:47.539260,0.6436814,0.03,-2.53772106723369
0,0.6274764999138731,0.66,0,2022-12-13 21:59:55.607478,0.6523248999999999,0.03,-1.761890052344218
0,0.6193588925705594,0.66,0,2022-12-13 21:59:57.653179,0.6435052,0.03,-1.6341247109041364
0,0.690701686355459,0.66,0,2022-12-13 22:00:03.685179,0.716828,0.03,-2.0469907813748747
0,0.7071466575503931,0.66,0,2022-12-13 22:00:11.737534,0.7331459,0.03,-2.0147136508755814
0,0.7050445318129093,0.66,0,2022-12-13 22:00:13.765044,0.7301696999999999,0.03,-1.8171117777235164
0,0.7235988485107723,0.66,0,2022-12-13 22:00:17.801162,0.7454333,0.03,-1.3012734792018636
0,0.6481292254395278,0.66,0,2022-12-13 22:00:21.830046,0.6680668,0.03,-1.0923891486812873
0,0.6895062697154393,0.66,0,2022-12-13 22:00:29.861582,0.7096353000000001,0.03,-1.1115992842648266
0,0.5700264175500139,0.66,0,2022-12-13 22:00:31.891503,0.5857365000000001,0.03,-0.7416431595051232
0,0.4869387415332188,0.33,1,2022-12-13 22:00:37.943082,0.5055676100000001,0.03,-0.9701195596589133
0,0.5507148310851923,0.66,1,2022-12-13 22:00:43.997743,0.5671048099999999,0.03,-0.7903910157573378
0,0.5051770055365179,0.66,0,2022-12-13 22:00:46.044802,0.52178011,0.03,-0.8061743779256667
0,0.575359966013533,0.66,0,2022-12-13 22:00:52.073615,0.5934418100000001,0.03,-0.9231344288430076
0,0.5358977053033038,0.66,0,2022-12-13 22:00:54.123283,0.55407001,0.03,-0.9307535406307387
0,0.5361232542925108,0.66,0,2022-12-13 22:00:56.149376,0.55301071,0.03,-0.8276280300609231
0,0.5773253839202052,0.66,0,2022-12-13 22:01:00.176108,0.5933993,0.03,-0.7674337590070655
0,0.5751006634210016,0.66,0,2022-12-13 22:01:02.201144,0.5914554000000001,0.03,-0.7878049223747858
0,0.6228230914203263,0.66,0,2022-12-13 22:01:06.266014,0.6334072000000001,0.03,-0.4351055055316995
0,0.6788268433897511,0.66,0,2022-12-13 22:01:08.297296,0.6928657,0.03,-0.6310401512447416
0,0.6054521015834269,0.66,0,2022-12-13 22:01:10.392597,0.6183471999999999,0.03,-0.5618323169219275
0,0.5990633371100076,0.66,0,2022-12-13 22:01:12.427871,0.6132967,0.03,-0.643301249463677
0,0.6119398263153448,0.66,0,2022-12-13 22:01:16.471738,0.6235596999999999,0.03,-0.4899273923237957
0,0.5658159232486456,0.66,0,2022-12-13 22:01:18.518502,0.5779456,0.03,-0.5180559637542711
0,0.5891892261552528,0.66,0,2022-12-13 22:01:20.561166,0.5922552999999999,0.03,-0.10781069433061119
0,0.6097993304808632,0.66,0,2022-12-13 22:01:24.589301,0.6150846,0.03,-0.1937979400461164
0,0.5620100754978754,0.66,0,2022-12-13 22:01:26.642729,0.5589252,0.03,0.09787886269596122
0,0.6291207710850615,0.66,0,2022-12-13 22:01:32.725331,0.6364427000000001,0.03,-0.27979895557903944
0,0.5699819701392584,0.66,0,2022-12-13 22:01:34.814477,0.5825248000000001,0.03,-0.5414469211758841
0,0.5857963167557565,0.66,0,2022-12-13 22:01:40.869026,0.5970306000000001,0.03,-0.4691657533880956
0,0.6191487001325442,0.66,0,2022-12-13 22:01:42.897492,0.6307139000000002,0.03,-0.486957191773681
0,0.5858472576191182,0.66,0,2022-12-13 22:01:46.942757,0.5967825,0.03,-0.4533559018287672
0,0.597595885429689,0.66,0,2022-12-13 22:01:48.971634,0.6088919999999999,0.03,-0.4724661023955412
0,0.5826564390326452,0.66,0,2022-12-13 22:01:51.017312,0.5918844999999999,0.03,-0.3675943907582767
0,0.6247054894656275,0.66,0,2022-12-13 22:01:53.117212,0.6258895,0.03,-0.04026695880234556
0,0.6237371549671687,0.66,0,2022-12-13 22:01:55.145327,0.6325108,0.03,-0.34595381323760066
0,0.6499180124379311,0.66,0,2022-12-13 22:01:57.199585,0.6560622999999999,0.03,-0.2291736777897514
0,0.6251399456113854,0.66,0,2022-12-13 22:01:59.245332,0.6313885,0.03,-0.23355398518607134
0,0.6547016996902286,0.66,0,2022-12-13 22:02:01.271919,0.6506193,0.03,0.12758373126572464
0,0.6286971949760853,0.66,0,2022-12-13 22:02:05.302653,0.6356868999999999,0.03,-0.2652556582235403
0,0.5915846525296102,0.66,0,2022-12-13 22:02:07.373913,0.6012574999999999,0.03,-0.389239826319989
0,0.602154448222079,0.66,0,2022-12-13 22:02:11.421231,0.6119975,0.03,-0.3976483277908395
0,0.6426022213119335,0.66,0,2022-12-13 22:02:13.457202,0.6459264,0.03,-0.11743979537256688
0,0.5849429240443282,0.66,0,2022-12-13 22:02:15.502888,0.5853374,0.03,-0.013236414624871823
0,0.5785552923670629,0.66,0,2022-12-13 22:02:21.551889,0.588245,0.03,-0.39006961094634823
0,0.5587970972419675,0.66,0,2022-12-13 22:02:23.598811,0.5699471,0.03,-0.4646846140828728
0,0.5766897574253937,0.66,0,2022-12-13 22:02:25.625304,0.5822989000000001,0.03,-0.20698901525955338
0,0.6140205308993123,0.66,0,2022-12-13 22:02:27.656906,0.5985536,0.03,0.4157878866306614
