,Alpha,Cost,ColdStarts,Cores,Mem
148,0.2,2.655517417907715e-06,1,1000,500000
149,0.2,2.372770320892334e-06,0,1000,500000
150,0.2,2.655517417907715e-06,0,1000,500000
151,0.2,1.7702645149230957e-06,0,1000,500000
152,0.2,1.9250116119384766e-06,2,1000,500000
153,0.2,1.6422645149230958e-06,1,1000,500000
154,0.2,1.9250116119384766e-06,1,1000,500000
155,0.2,1.0397587089538575e-06,1,1000,500000
156,0.2,1.9250116119384766e-06,1,1000,500000
157,0.2,1.6422645149230958e-06,0,1000,500000
158,0.2,1.9250116119384766e-06,0,1000,500000
159,0.2,1.0397587089538575e-06,0,1000,500000
160,0.2,2.756770320892334e-06,2,1000,500000
161,0.2,2.6927703208923337e-06,1,1000,500000
162,0.2,2.9382645149230958e-06,1,1000,500000
163,0.2,2.0530116119384765e-06,1,1000,500000
164,0.2,2.756770320892334e-06,1,1000,500000
165,0.2,2.6927703208923337e-06,0,1000,500000
166,0.2,2.9382645149230958e-06,0,1000,500000
167,0.2,2.0530116119384765e-06,0,1000,500000
168,0.2,2.026264514923096e-06,2,1000,500000
169,0.2,1.999517417907715e-06,1,1000,500000
170,0.2,2.245011611938477e-06,1,1000,500000
171,0.2,1.3597587089538576e-06,1,1000,500000
172,0.2,2.026264514923096e-06,1,1000,500000
173,0.2,1.999517417907715e-06,0,1000,500000
174,0.2,2.245011611938477e-06,0,1000,500000
175,0.2,1.3597587089538576e-06,0,1000,500000
176,0.2,2.756770320892334e-06,1,1000,500000
177,0.2,1.9087703208923337e-06,1,1000,500000
178,0.2,2.1542645149230957e-06,1,1000,500000
179,0.2,1.2690116119384764e-06,1,1000,500000
180,0.2,2.756770320892334e-06,0,1000,500000
181,0.2,1.9087703208923337e-06,0,1000,500000
182,0.2,2.1542645149230957e-06,0,1000,500000
183,0.2,1.2690116119384764e-06,0,1000,500000
184,0.2,2.026264514923096e-06,1,1000,500000
185,0.2,1.1782645149230957e-06,1,1000,500000
186,0.2,1.4237587089538575e-06,1,1000,500000
187,0.2,5.385058059692383e-07,1,1000,500000
188,0.2,2.026264514923096e-06,0,1000,500000
189,0.2,1.1782645149230957e-06,0,1000,500000
190,0.2,1.4237587089538575e-06,0,1000,500000
191,0.2,5.385058059692383e-07,0,1000,500000
192,0.2,4.004770320892334e-06,2,1000,500000
193,0.2,2.372770320892334e-06,3,1000,500000
194,0.2,3.439517417907715e-06,2,1000,500000
195,0.2,2.5542645149230957e-06,2,1000,500000
196,0.2,4.004770320892334e-06,1,1000,500000
197,0.2,2.372770320892334e-06,2,1000,500000
198,0.2,3.439517417907715e-06,1,1000,500000
199,0.2,2.5542645149230957e-06,1,1000,500000
200,0.2,3.311517417907715e-06,2,1000,500000
