,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
142,0.1,5.012529029846192e-07,2,"[0, 0, 1, 1, 1, 0]",14
143,0.1,5.012529029846192e-07,1,"[0, 0, 1, 1, 1, 1]",15
144,0.1,5.012529029846192e-07,4,"[0, 1, 0, 0, 0, 0]",16
145,0.1,5.012529029846192e-07,3,"[0, 1, 0, 0, 0, 1]",17
146,0.1,5.012529029846192e-07,3,"[0, 1, 0, 0, 1, 0]",18
147,0.1,5.012529029846192e-07,2,"[0, 1, 0, 0, 1, 1]",19
148,0.1,5.012529029846192e-07,3,"[0, 1, 0, 1, 0, 0]",20
149,0.1,5.012529029846192e-07,2,"[0, 1, 0, 1, 0, 1]",21
150,0.1,5.012529029846192e-07,2,"[0, 1, 0, 1, 1, 0]",22
151,0.1,5.012529029846192e-07,1,"[0, 1, 0, 1, 1, 1]",23
152,0.1,5.012529029846192e-07,3,"[0, 1, 1, 0, 0, 0]",24
153,0.1,5.012529029846192e-07,2,"[0, 1, 1, 0, 0, 1]",25
154,0.1,5.012529029846192e-07,2,"[0, 1, 1, 0, 1, 0]",26
155,0.1,5.012529029846192e-07,1,"[0, 1, 1, 0, 1, 1]",27
156,0.1,5.012529029846192e-07,2,"[0, 1, 1, 1, 0, 0]",28
157,0.1,5.012529029846192e-07,1,"[0, 1, 1, 1, 0, 1]",29
158,0.1,5.012529029846192e-07,1,"[0, 1, 1, 1, 1, 0]",30
159,0.1,5.012529029846192e-07,0,"[0, 1, 1, 1, 1, 1]",31
160,0.1,5.012529029846192e-07,6,"[1, 0, 0, 0, 0, 0]",32
161,0.1,5.012529029846192e-07,5,"[1, 0, 0, 0, 0, 1]",33
162,0.1,5.012529029846192e-07,5,"[1, 0, 0, 0, 1, 0]",34
163,0.1,5.012529029846192e-07,4,"[1, 0, 0, 0, 1, 1]",35
164,0.1,5.012529029846192e-07,5,"[1, 0, 0, 1, 0, 0]",36
165,0.1,5.012529029846192e-07,4,"[1, 0, 0, 1, 0, 1]",37
166,0.1,5.012529029846192e-07,4,"[1, 0, 0, 1, 1, 0]",38
167,0.1,5.012529029846192e-07,3,"[1, 0, 0, 1, 1, 1]",39
168,0.1,5.012529029846192e-07,5,"[1, 0, 1, 0, 0, 0]",40
169,0.1,5.012529029846192e-07,4,"[1, 0, 1, 0, 0, 1]",41
170,0.1,5.012529029846192e-07,4,"[1, 0, 1, 0, 1, 0]",42
171,0.1,5.012529029846192e-07,3,"[1, 0, 1, 0, 1, 1]",43
172,0.1,5.012529029846192e-07,4,"[1, 0, 1, 1, 0, 0]",44
173,0.1,5.012529029846192e-07,3,"[1, 0, 1, 1, 0, 1]",45
174,0.1,5.012529029846192e-07,3,"[1, 0, 1, 1, 1, 0]",46
175,0.1,5.012529029846192e-07,2,"[1, 0, 1, 1, 1, 1]",47
176,0.1,5.012529029846192e-07,5,"[1, 1, 0, 0, 0, 0]",48
177,0.1,5.012529029846192e-07,4,"[1, 1, 0, 0, 0, 1]",49
178,0.1,5.012529029846192e-07,4,"[1, 1, 0, 0, 1, 0]",50
179,0.1,5.012529029846192e-07,3,"[1, 1, 0, 0, 1, 1]",51
180,0.1,5.012529029846192e-07,4,"[1, 1, 0, 1, 0, 0]",52
181,0.1,5.012529029846192e-07,3,"[1, 1, 0, 1, 0, 1]",53
182,0.1,5.012529029846192e-07,3,"[1, 1, 0, 1, 1, 0]",54
183,0.1,5.012529029846192e-07,2,"[1, 1, 0, 1, 1, 1]",55
184,0.1,5.012529029846192e-07,4,"[1, 1, 1, 0, 0, 0]",56
185,0.1,5.012529029846192e-07,3,"[1, 1, 1, 0, 0, 1]",57
186,0.1,5.012529029846192e-07,3,"[1, 1, 1, 0, 1, 0]",58
187,0.1,5.012529029846192e-07,2,"[1, 1, 1, 0, 1, 1]",59
188,0.1,5.012529029846192e-07,3,"[1, 1, 1, 1, 0, 0]",60
189,0.1,5.012529029846192e-07,2,"[1, 1, 1, 1, 0, 1]",61
190,0.1,5.012529029846192e-07,2,"[1, 1, 1, 1, 1, 0]",62
191,0.1,5.012529029846192e-07,1,"[1, 1, 1, 1, 1, 1]",63
192,0.15,5.012529029846192e-07,5,"[0, 0, 0, 0, 0, 0]",0
193,0.15,5.012529029846192e-07,4,"[0, 0, 0, 0, 0, 1]",1
194,0.15,5.012529029846192e-07,4,"[0, 0, 0, 0, 1, 0]",2
195,0.15,5.012529029846192e-07,3,"[0, 0, 0, 0, 1, 1]",3
196,0.15,5.012529029846192e-07,4,"[0, 0, 0, 1, 0, 0]",4
197,0.15,5.012529029846192e-07,3,"[0, 0, 0, 1, 0, 1]",5
198,0.15,5.012529029846192e-07,3,"[0, 0, 0, 1, 1, 0]",6
199,0.15,5.012529029846192e-07,2,"[0, 0, 0, 1, 1, 1]",7
200,0.15,5.012529029846192e-07,4,"[0, 0, 1, 0, 0, 0]",8
201,0.15,5.012529029846192e-07,3,"[0, 0, 1, 0, 0, 1]",9
202,0.15,5.012529029846192e-07,3,"[0, 0, 1, 0, 1, 0]",10
203,0.15,5.012529029846192e-07,2,"[0, 0, 1, 0, 1, 1]",11
204,0.15,5.012529029846192e-07,3,"[0, 0, 1, 1, 0, 0]",12
205,0.15,5.012529029846192e-07,2,"[0, 0, 1, 1, 0, 1]",13
206,0.15,5.012529029846192e-07,2,"[0, 0, 1, 1, 1, 0]",14
207,0.15,5.012529029846192e-07,1,"[0, 0, 1, 1, 1, 1]",15
208,0.15,5.012529029846192e-07,4,"[0, 1, 0, 0, 0, 0]",16
209,0.15,5.012529029846192e-07,3,"[0, 1, 0, 0, 0, 1]",17
210,0.15,5.012529029846192e-07,3,"[0, 1, 0, 0, 1, 0]",18
211,0.15,5.012529029846192e-07,2,"[0, 1, 0, 0, 1, 1]",19
